Data Description file for Dataset: Neighbour Enrichment - RCTM

Description: Dataset of target annotations collected using the Neibhour Enrichment function in STRING, which includes annotations from nearest neighbour proteins to the input target.
The predictive features in this dataset refer only to category of Pathways sourced from Reactome.

Special Columns:	Category	Description
Index	ID	Unique identifier for the compound/sex combination (instance) in the data. Ignored when training the classification model.
Compound_name	ID	Name of the compound (drug). Ignored when training the classification model.
class	Target Variable	Class label, with 0 indicating that the drug/sex combination is NOT associated with mouse longevity, and 1 indicating that it IS associated with mouse longevity, based on results from peer-reviewed studies.

Predictive Features:	Category	Description
HSA-373076	Reactome Pathway	Class A/1 (Rhodopsin-like receptors)
HSA-388396	Reactome Pathway	GPCR downstream signalling
HSA-418594	Reactome Pathway	G alpha (i) signalling events
HSA-375276	Reactome Pathway	Peptide ligand-binding receptors
HSA-416476	Reactome Pathway	G alpha (q) signalling events
HSA-8943724	Reactome Pathway	Regulation of PTEN gene transcription
HSA-6804758	Reactome Pathway	Regulation of TP53 Activity through Acetylation
HSA-3214815	Reactome Pathway	HDACs deacetylate histones
HSA-3247509	Reactome Pathway	Chromatin modifying enzymes
HSA-74160	Reactome Pathway	Gene expression (Transcription)
HSA-162582	Reactome Pathway	Signal Transduction
HSA-1643685	Reactome Pathway	Disease
HSA-212165	Reactome Pathway	Epigenetic regulation of gene expression
HSA-212436	Reactome Pathway	Generic Transcription Pathway
HSA-3108232	Reactome Pathway	SUMO E3 ligases SUMOylate target proteins
HSA-9679506	Reactome Pathway	SARS-CoV Infections
HSA-2122947	Reactome Pathway	NOTCH1 Intracellular Domain Regulates Transcription
HSA-2173793	Reactome Pathway	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
HSA-157118	Reactome Pathway	Signaling by NOTCH
HSA-5663205	Reactome Pathway	Infectious disease
HSA-2644606	Reactome Pathway	Constitutive Signaling by NOTCH1 PEST Domain Mutants
HSA-2894862	Reactome Pathway	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
HSA-5250913	Reactome Pathway	Positive epigenetic regulation of rRNA expression
HSA-73854	Reactome Pathway	RNA Polymerase I Promoter Clearance
HSA-9006931	Reactome Pathway	Signaling by Nuclear Receptors
HSA-5617472	Reactome Pathway	Activation of anterior HOX genes in hindbrain development during early embryogenesis
HSA-6811555	Reactome Pathway	PI5P Regulates TP53 Acetylation
HSA-9701898	Reactome Pathway	STAT3 nuclear events downstream of ALK signaling
HSA-9679191	Reactome Pathway	Potential therapeutics for SARS
HSA-4641265	Reactome Pathway	Repression of WNT target genes
HSA-9005891	Reactome Pathway	Loss of function of MECP2 in Rett syndrome
HSA-2559584	Reactome Pathway	Formation of Senescence-Associated Heterochromatin Foci (SAHF)
HSA-9018519	Reactome Pathway	Estrogen-dependent gene expression
HSA-6804114	Reactome Pathway	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
HSA-6804760	Reactome Pathway	Regulation of TP53 Activity through Methylation
HSA-5663202	Reactome Pathway	Diseases of signal transduction by growth factor receptors and second messengers
HSA-983231	Reactome Pathway	Factors involved in megakaryocyte development and platelet production
HSA-350054	Reactome Pathway	Notch-HLH transcription pathway
HSA-2173795	Reactome Pathway	Downregulation of SMAD2/3:SMAD4 transcriptional activity
HSA-69278	Reactome Pathway	Cell Cycle, Mitotic
HSA-9022692	Reactome Pathway	Regulation of MECP2 expression and activity
HSA-201681	Reactome Pathway	TCF dependent signaling in response to WNT
HSA-2559585	Reactome Pathway	Oncogene Induced Senescence
HSA-8864260	Reactome Pathway	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors
HSA-2173796	Reactome Pathway	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
HSA-9029569	Reactome Pathway	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
HSA-3769402	Reactome Pathway	Deactivation of the beta-catenin transactivating complex
HSA-3899300	Reactome Pathway	SUMOylation of transcription cofactors
HSA-427389	Reactome Pathway	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression
HSA-73762	Reactome Pathway	RNA Polymerase I Transcription Initiation
