Data Description file for Dataset: Neighbour Enrichment - WikiPathways

Description: Dataset of target annotations collected using the Neibhour Enrichment function in STRING, which includes annotations from nearest neighbour proteins to the input target.
The predictive features in this dataset refer only to category of Pathways sourced from WikiPathways.

Special Columns:	Category	Description
Index	ID	Unique identifier for the compound/sex combination (instance) in the data. Ignored when training the classification model.
Compound_name	ID	Name of the compound (drug). Ignored when training the classification model.
class	Target Variable	Class label, with 0 indicating that the drug/sex combination is NOT associated with mouse longevity, and 1 indicating that it IS associated with mouse longevity, based on results from peer-reviewed studies.

Predictive Features:	Category	Description
WP4320	WikiPathways	Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome
WP3651	WikiPathways	Pathways affected in adenoid cystic carcinoma
WP138	WikiPathways	Androgen receptor signaling pathway
WP179	WikiPathways	Cell cycle
WP3594	WikiPathways	Circadian rhythm genes
WP61	WikiPathways	Notch signaling pathway
WP2261	WikiPathways	Glioblastoma signaling pathways
WP2446	WikiPathways	Retinoblastoma gene in cancer
WP399	WikiPathways	Wnt signaling pathway and pluripotency
WP5049	WikiPathways	Glycolysis in senescence
WP366	WikiPathways	TGF-beta signaling pathway
WP5046	WikiPathways	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence
WP3414	WikiPathways	Initiation of transcription and translation elongation at the HIV-1 LTR
WP5097	WikiPathways	CCL18 signaling pathway
WP2828	WikiPathways	Bladder cancer
WP1541	WikiPathways	Energy metabolism
WP1971	WikiPathways	Integrated cancer pathway
WP2586	WikiPathways	Aryl hydrocarbon receptor pathway
WP268	WikiPathways	Notch signaling
WP3611	WikiPathways	Photodynamic therapy-induced AP-1 survival signaling
WP4312	WikiPathways	Rett syndrome causing genes
WP4879	WikiPathways	Overlap between signal transduction pathways contributing to LMNA laminopathies
WP304	WikiPathways	Kit receptor signaling pathway
WP3998	WikiPathways	Prader-Willi and Angelman syndrome
WP45	WikiPathways	G1 to S cell cycle control
WP4685	WikiPathways	Melanoma
WP707	WikiPathways	DNA damage response
WP1530	WikiPathways	miRNA regulation of DNA damage response
WP3584	WikiPathways	MECP2 and associated Rett syndrome
WP4255	WikiPathways	Non-small cell lung cancer
WP4674	WikiPathways	Head and neck squamous cell carcinoma
WP4263	WikiPathways	Pancreatic adenocarcinoma pathway
WP4658	WikiPathways	Small cell lung cancer
WP2064	WikiPathways	Neural crest differentiation
WP5087	WikiPathways	Malignant pleural mesothelioma
WP2263	WikiPathways	Androgen receptor network in prostate cancer
WP2431	WikiPathways	Spinal cord injury
WP5322	WikiPathways	CKAP4 signaling pathway map
WP4657	WikiPathways	22q11.2 copy number variation syndrome
WP236	WikiPathways	Adipogenesis
WP2916	WikiPathways	Interactome of polycomb repressive complex 2 (PRC2) 
WP4533	WikiPathways	Transcription co-factors SKI and SKIL protein partners
WP4204	WikiPathways	Tumor suppressor activity of SMARCB1
WP2023	WikiPathways	Cell differentiation - expanded index
WP2029	WikiPathways	Cell differentiation - index
WP2795	WikiPathways	Cardiac hypertrophic response
WP474	WikiPathways	Endochondral ossification
WP4808	WikiPathways	Endochondral ossification with skeletal dysplasias
WP1991	WikiPathways	SRF and miRs in smooth muscle differentiation and proliferation
WP5224	WikiPathways	2q37 copy number variation syndrome
WP3888	WikiPathways	VEGFA-VEGFR2 signaling
WP3996	WikiPathways	Ethanol effects on histone modifications
WP1544	WikiPathways	MicroRNAs in cardiomyocyte hypertrophy
WP3981	WikiPathways	miRNA regulation of prostate cancer signaling pathways
WP2876	WikiPathways	Pregnane X receptor pathway
WP2355	WikiPathways	Corticotropin-releasing hormone signaling pathway
WP2882	WikiPathways	Nuclear receptors meta-pathway
WP3932	WikiPathways	Focal adhesion: PI3K-Akt-mTOR-signaling pathway
WP4746	WikiPathways	Thyroid hormones production and peripheral downstream signaling effects
WP2875	WikiPathways	Constitutive androstane receptor pathway
WP4262	WikiPathways	Breast cancer pathway
WP712	WikiPathways	Estrogen signaling pathway
WP2873	WikiPathways	Aryl hydrocarbon receptor pathway
WP437	WikiPathways	EGF/EGFR signaling pathway
WP2881	WikiPathways	Estrogen receptor pathway
