DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
lepirudin	DB00001	"[leu1, thr2]-63-desulfohirudin | desulfatohirudin | hirudin variant-1 | lepirudin | lepirudin recombinant | r-hirudin"	9606.ENSP00000308541	F2	P00734
cetuximab	DB00002	cetuximab | cã©tuximab | cetuximabum	"9606.ENSP00000358165, 9606.ENSP00000275493, 9606.ENSP00000433642, 9606.ENSP00000363773, 9606.ENSP00000313967, 9606.ENSP00000363770, 9606.ENSP00000356946, 9606.ENSP00000271450"	"FCGR1A, EGFR, FCGR3B, C1QA, C1QB, C1QC, FCGR3A, FCGR2A"	"P12314, P00533, O75015, P02745, P02746, P02747, P08637, P12318"
denileukin diftitox	DB00004	denileukin | denileukin diftitox | interleukin-2/diptheria toxin fusion protein	"9606.ENSP00000216223, 9606.ENSP00000369293, 9606.ENSP00000363318"	"IL2RB, IL2RA, IL2RG"	"P14784, P01589, P31785"
etanercept	DB00005	etanercept | etanercept-szzs | etanercept-ykro | recombinant human tnf | rhu tnfr:fc | rhu-tnfr:fc | tnfr-immunoadhesin	"9606.ENSP00000398698, 9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000403495, 9606.ENSP00000356946, 9606.ENSP00000271450, 9606.ENSP00000351497, 9606.ENSP00000363773, 9606.ENSP00000313967, 9606.ENSP00000363770"	"TNF, FCGR1A, FCGR3B, LTA, FCGR3A, FCGR2A, FCGR2B, C1QA, C1QB, C1QC"	"P01375, P12314, O75015, P01374, P08637, P12318, P31994, P31995, P02745, P02746, P02747"
bivalirudin	DB00006	bivalirudin | bivalirudina | bivalirudinum	9606.ENSP00000308541	F2	P00734
leuprolide	DB00007	leuprorelin | leuprorelina | leuproreline | leuprorelinum	9606.ENSP00000226413	GNRHR	P30968
peginterferon alfa-2a	DB00008	peg-ifn alfa-2a | peg-interferon alfa-2a | peginterferon alfa-2a | pegylated interfeaon alfa-2a | pegylated interferon alfa-2a | pegylated interferon alpha-2a | pegylated-interferon alfa 2a	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
alteplase	DB00009	"alteplasa | alteplase | alteplase (genetical recombination) | alteplase, recombinant | alteplase,recombinant | plasminogen activator (human tissue-type protein moiety) | rt-pa | t-pa | t-plasminogen activator | tissue plasminogen activator | tissue plasminogen activator alteplase | tissue plasminogen activator, recombinant | tpa"	"9606.ENSP00000308938, 9606.ENSP00000223095, 9606.ENSP00000498441, 9606.ENSP00000336829"	"PLG, SERPINE1, FGA, FGG"	"P00747, P05121, P02671, P02679"
sermorelin	DB00010	sermorelin	9606.ENSP00000320180	GHRHR	Q02643
interferon alfa-n1	DB00011	interferon alfa-n1 | interferon alpha-n1 (ins) | well-feron | wellferon	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
darbepoetin alfa	DB00012	"darbepoetin | darbepoetin alfa | darbepoetin alfa,recombinant | darbepoetina alfa"	9606.ENSP00000222139	EPOR	P19235
urokinase	DB00013	"kinase (enzyme-activating), uro-urokinase | tcuk | tissue culture urokinase | two-chain urokinase | urochinasi | urokinase | urokinasum | uroquinasa"	"9606.ENSP00000308938, 9606.ENSP00000223095, 9606.ENSP00000339328, 9606.ENSP00000496870, 9606.ENSP00000401645, 9606.ENSP00000278742, 9606.ENSP00000333203, 9606.ENSP00000264187"	"PLG, SERPINE1, PLAUR, LRP2, SERPINB2, ST14, SERPINA5, NID1"	"P00747, P05121, Q03405, P98164, P05120, Q9Y5Y6, P05154, P14543"
goserelin	DB00014	goserelin | goserelina	"9606.ENSP00000294954, 9606.ENSP00000226413"	"LHCGR, GNRHR"	"P22888, P30968"
reteplase	DB00015	"human t-pa (residues 1-3 and 176-527) | reteplasa | reteplase | reteplase, recombinant | reteplase,recombinant"	"9606.ENSP00000308938, 9606.ENSP00000223095, 9606.ENSP00000498441"	"PLG, SERPINE1, FGA"	"P00747, P05121, P02671"
